bedrooms,location,area,price
2.0,Sea Point,139.0,5600000.0
1.0,Sea Point,93.0,2399000.0
3.0,Sea Point,227.0,7950000.0
2.0,Sea Point,139.0,5600000.0
2.0,Sea Point,67.0,5200000.0
0,Sea Point,38.0,1925000.0
2.0,Sea Point,166.0,10950000.0
3.0,Sea Point,168.0,6550000.0
2.0,Sea Point,97.0,2990000.0
2.0,Sea Point,91.0,3450000.0
1.0,Sea Point,75.0,3150000.0
2.0,Sea Point,83.0,5200000.0
2.0,Sea Point,137.0,3950000.0
1.0,Sea Point,82.0,3995000.0
1.0,Sea Point,49.0,2450000.0
1.0,Sea Point,65.0,3500000.0
1.0,Sea Point,117.0,5500000.0
2.0,Sea Point,93.0,5500000.0
2.0,Sea Point,83.0,5200000.0
3.0,Sea Point,198.0,8950000.0
2.0,Sea Point,230.0,5950000.0
3.0,Sea Point,174.0,7750000.0
2.0,Sea Point,88.0,3590000.0
3.0,Sea Point,228.0,16175000.0
3.0,Sea Point,188.0,15700000.0
3.0,Sea Point,174.0,7750000.0
2.0,Sea Point,157.0,8450000.0
2.0,Sea Point,76.0,3149000.0
1.0,Sea Point,47.0,1850000.0
2.0,Sea Point,140.0,7900000.0
2.0,Sea Point,106.0,3650000.0
2.0,Sea Point,88.0,3350000.0
3.0,Sea Point,125.0,4495000.0
3.0,Sea Point,133.0,5850000.0
3.0,Sea Point,228.0,16175000.0
2.0,Sea Point,106.0,4900000.0
2.0,Sea Point,80.0,5300000.0
2.0,Sea Point,294.0,11500000.0
2.0,Sea Point,95.0,3999000.0
1.0,Sea Point,59.0,2100000.0
0,Sea Point,44.0,1680000.0
2.0,Sea Point,61.0,3295000.0
2.0,Sea Point,61.0,3295000.0
2.0,Sea Point,139.0,7900000.0
2.0,Sea Point,157.0,8450000.0
3.0,Sea Point,150.0,6995000.0
2.0,Sea Point,157.0,15950000.0
2.0,Sea Point,132.0,7750000.0
0.0,Sea Point,52.0,2495000.0
2.0,Sea Point,88.0,4600000.0
3.0,Sea Point,186.0,12995000.0
2.0,Sea Point,92.0,4800000.0
3.0,Sea Point,91.0,2500000.0
1.0,Sea Point,84.0,2850000.0
2.0,Sea Point,83.0,5295000.0
2.0,Sea Point,43.0,1895000.0
2.0,Sea Point,77.0,2995000.0
0.0,Sea Point,39.0,1400000.0
1.0,Sea Point,85.0,2845000.0
1.0,Sea Point,68.0,3750000.0
3.0,Sea Point,103.0,3600000.0
3.0,Sea Point,103.0,3600000.0
3.0,Sea Point,142.0,10995000.0
4.0,Sea Point,479.0,19900000.0
1.0,Sea Point,52.0,3950000.0
1.0,Sea Point,78.0,3400000.0
2.0,Sea Point,100.0,4200000.0
3.0,Sea Point,104.0,3495000.0
3.0,Sea Point,145.0,5450000.0
1.0,Sea Point,132.0,3250000.0
0,Sea Point,57.0,2995000.0
1.0,Sea Point,47.0,1995000.0
2.0,Sea Point,99.0,3975000.0
2.0,Sea Point,94.0,2995000.0
2.0,Sea Point,93.0,3195000.0
2.0,Sea Point,113.0,3395000.0
2.0,Sea Point,114.0,3900000.0
3.0,Sea Point,183.0,7350000.0
1.0,Sea Point,51.0,2200000.0
3.0,Sea Point,198.0,8950000.0
2.0,Sea Point,262.0,7849050.0
2.0,Sea Point,93.0,5209000.0
2.0,Sea Point,154.0,7659050.0
4.0,Sea Point,300.0,15999000.0
2.0,Sea Point,119.0,5488500.0
2.0,Sea Point,113.0,3395000.0
2.0,Sea Point,135.0,5895000.0
1.0,Sea Point,44.0,1950000.0
1.0,Sea Point,63.0,1950000.0
1.0,Sea Point,47.0,1850000.0
2.0,Sea Point,147.0,4999000.0
3.0,Sea Point,114.0,6350000.0
0.0,Sea Point,37.0,2990000.0
1.0,Sea Point,58.0,2295000.0
0.0,Sea Point,50.0,1900000.0
2.0,Sea Point,90.0,4795000.0
2.0,Sea Point,137.0,6750000.0
2.0,Sea Point,109.0,4750000.0
2.0,Sea Point,120.0,3699000.0
3.0,Sea Point,253.0,12999000.0
0.0,Sea Point,50.0,1900000.0
2.0,Sea Point,100.0,4995000.0
2.0,Sea Point,82.0,5250000.0
2.0,Sea Point,98.0,3595000.0
0,Sea Point,52.0,2495000.0
4.0,Sea Point,321.0,14750000.0
2.0,Sea Point,109.0,6450000.0
1.0,Sea Point,53.0,3500000.0
2.0,Sea Point,75.0,3250000.0
1.0,Sea Point,68.0,2995000.0
3.0,Sea Point,204.0,9999000.0
3.0,Sea Point,150.0,7900000.0
3.0,Sea Point,150.0,7900000.0
3.0,Sea Point,152.0,5500000.0
1.0,Sea Point,47.0,2050000.0
2.0,Sea Point,105.0,4099000.0
0,Sea Point,92.0,2795000.0
1.0,Sea Point,46.0,1795000.0
3.0,Sea Point,109.0,7200000.0
2.0,Sea Point,95.0,3995000.0
1.0,Sea Point,75.0,2390000.0
1.0,Sea Point,54.0,2250000.0
3.0,Sea Point,144.0,3900000.0
2.0,Sea Point,98.0,4095000.0
1.0,Sea Point,71.0,2695000.0
1.0,Sea Point,64.0,2750000.0
1.0,Sea Point,46.0,1495000.0
2.0,Sea Point,127.0,7900000.0
2.0,Sea Point,85.0,4750000.0
2.0,Sea Point,111.0,2999000.0
0.0,Sea Point,46.0,1790000.0
2.0,Sea Point,98.0,6850000.0
2.0,Sea Point,130.0,4000000.0
2.0,Sea Point,127.0,5300000.0
2.0,Sea Point,77.0,0
1.0,Sea Point,84.0,2895000.0
2.0,Sea Point,99.0,5250000.0
2.0,Sea Point,83.0,3595000.0
0.0,Sea Point,33.0,1550000.0
2.0,Sea Point,105.0,3950000.0
2.0,Sea Point,96.0,3995000.0
3.0,Sea Point,91.0,3150000.0
2.0,Sea Point,127.0,4500000.0
2.0,Sea Point,94.0,2995000.0
2.0,Sea Point,77.0,2995000.0
1.0,Sea Point,68.0,3550000.0
2.0,Sea Point,77.0,2995000.0
1.0,Sea Point,30.0,1450000.0
1.0,Sea Point,56.0,2395000.0
2.0,Sea Point,91.0,2495000.0
2.0,Sea Point,70.0,2395000.0
1.0,Sea Point,47.0,1795000.0
2.0,Sea Point,109.0,2999999.0
3.0,Sea Point,145.0,4750000.0
1.0,Sea Point,60.0,3600000.0
2.0,Sea Point,125.0,5250000.0
2.0,Sea Point,95.0,3800000.0
1.0,Sea Point,52.0,2200000.0
1.0,Sea Point,95.0,3495000.0
2.0,Sea Point,122.0,5795000.0
3.0,Sea Point,126.0,4999000.0
0,Sea Point,46.0,1997000.0
2.0,Sea Point,109.0,2999999.0
2.0,Sea Point,85.0,2250000.0
0,Sea Point,39.0,1695000.0
0.0,Sea Point,41.0,3299000.0
2.0,Sea Point,132.0,5800000.0
1.0,Sea Point,62.0,2100000.0
1.0,Sea Point,52.0,1995000.0
2.0,Sea Point,105.0,5699000.0
2.0,Sea Point,121.0,4950000.0
1.0,Sea Point,74.0,2599000.0
0,Sea Point,91.0,3495000.0
3.0,Sea Point,109.0,5900000.0
3.0,Sea Point,319.0,29500000.0
2.0,Sea Point,111.0,4800000.0
2.0,Sea Point,76.0,3250000.0
2.0,Sea Point,63.0,2750000.0
2.0,Sea Point,121.0,4950000.0
1.0,Sea Point,82.0,3995000.0
3.0,Sea Point,348.0,15875000.0
2.0,Sea Point,137.0,6750000.0
2.0,Sea Point,88.0,4600000.0
2.0,Sea Point,216.0,8500000.0
1.0,Sea Point,76.0,3995000.0
2.0,Sea Point,88.0,3590000.0
3.0,Sea Point,110.0,4990000.0
0.0,Sea Point,42.0,1795000.0
1.0,Sea Point,73.0,1850000.0
2.0,Sea Point,95.0,3995000.0
3.0,Sea Point,435.0,32950000.0
0.0,Sea Point,42.0,1795000.0
2.0,Sea Point,72.0,3300000.0
1.0,Sea Point,24.0,1275000.0
2.0,Sea Point,97.0,3350000.0
3.0,Sea Point,97.0,2495000.0
2.0,Sea Point,151.0,6899000.0
2.0,Sea Point,83.0,4500000.0
2.0,Sea Point,109.0,4600000.0
1.0,Sea Point,47.0,1850000.0
1.0,Sea Point,63.0,1850000.0
2.0,Sea Point,172.0,5750000.0
2.0,Sea Point,156.0,11900000.0
0.0,Sea Point,37.0,1795000.0
1.0,Sea Point,55.0,3599990.0
3.0,Sea Point,87.0,2500000.0
2.0,Sea Point,93.0,2350000.0
2.0,Sea Point,79.0,2395000.0
2.0,Sea Point,97.0,2950000.0
1.0,Sea Point,68.0,2450000.0
1.0,Sea Point,55.0,3599990.0
1.0,Sea Point,21.0,1385000.0
2.0,Sea Point,83.0,5295000.0
3.0,Sea Point,118.0,4995000.0
2.0,Sea Point,82.0,4464050.0
2.0,Sea Point,115.0,4995000.0
2.0,Sea Point,102.0,3495000.0
2.0,Sea Point,98.0,5850000.0
1.0,Sea Point,53.0,3500000.0
4.0,Sea Point,268.0,11950000.0
2.0,Sea Point,84.0,4785000.0
2.0,Sea Point,78.0,2150000.0
2.0,Sea Point,89.0,3550000.0
2.0,Sea Point,83.0,5950000.0
2.0,Sea Point,86.0,3095000.0
0,Sea Point,38.0,1495000.0
1.0,Sea Point,71.0,3365000.0
2.0,Sea Point,145.0,6850000.0
2.0,Sea Point,123.0,5450000.0
1.0,Sea Point,46.0,1590000.0
1.0,Sea Point,59.0,2100000.0
3.0,Sea Point,103.0,4000000.0
2.0,Sea Point,104.0,3995000.0
1.0,Sea Point,31.0,1399000.0
2.0,Sea Point,90.0,3795000.0
3.0,Sea Point,182.0,5230000.0
1.0,Sea Point,73.0,2100000.0
2.0,Sea Point,95.0,2700000.0
3.0,Sea Point,245.0,13500000.0
0,Sea Point,51.0,1995000.0
2.0,Sea Point,86.0,3900000.0
1.0,Sea Point,74.0,2599000.0
1.0,Sea Point,82.0,3750000.0
2.0,Sea Point,61.0,3299000.0
0.0,Sea Point,48.0,2999000.0
2.0,Sea Point,125.0,5495000.0
1.0,Sea Point,51.0,3150000.0
1.0,Sea Point,93.0,2400000.0
2.0,Sea Point,58.0,2495000.0
0.0,Sea Point,43.0,1800000.0
1.0,Sea Point,52.0,2300000.0
1.0,Sea Point,44.0,1680000.0
2.0,Sea Point,115.0,6200000.0
2.0,Sea Point,111.0,3850000.0
2.0,Sea Point,178.0,8100000.0
2.0,Sea Point,56.0,2300000.0
1.0,Sea Point,56.0,2890000.0
0.0,Sea Point,43.0,1800000.0
2.0,Sea Point,90.0,5900000.0
3.0,Sea Point,130.0,3790000.0
0,Sea Point,50.0,1950000.0
2.0,Sea Point,75.0,3850000.0
2.0,Sea Point,80.0,3799000.0
2.0,Sea Point,86.0,3250000.0
2.0,Sea Point,187.0,7200000.0
2.0,Sea Point,75.0,3850000.0
2.0,Sea Point,106.0,4300000.0
3.0,Sea Point,175.0,7950000.0
1.0,Sea Point,84.0,2850000.0
0,Sea Point,33.0,1650000.0
2.0,Sea Point,80.0,3799000.0
2.0,Sea Point,88.0,2950000.0
3.0,Sea Point,125.0,4495000.0
2.0,Sea Point,91.0,2999000.0
0.0,Sea Point,48.0,2450000.0
2.0,Sea Point,91.0,4495000.0
2.0,Sea Point,79.0,3495000.0
2.0,Sea Point,102.0,5990000.0
2.0,Sea Point,82.0,4464050.0
2.0,Sea Point,86.0,4000000.0
2.0,Sea Point,70.0,2650000.0
3.0,Sea Point,188.0,15200000.0
2.0,Sea Point,85.0,3295000.0
1.0,Sea Point,71.0,2150000.0
2.0,Sea Point,102.0,5990000.0
3.0,Sea Point,103.0,3350000.0
0,Sea Point,51.0,2100000.0
2.0,Sea Point,93.0,5414050.0
3.0,Sea Point,161.0,7950000.0
1.0,Sea Point,66.0,3399000.0
1.0,Sea Point,61.0,4284000.0
1.0,Sea Point,65.0,4017550.0
2.0,Sea Point,81.0,5200000.0
2.0,Sea Point,105.0,3999000.0
2.0,Sea Point,133.0,4350000.0
2.0,Sea Point,154.0,7409050.0
2.0,Sea Point,94.0,4995000.0
2.0,Sea Point,157.0,7250000.0
3.0,Sea Point,180.0,11200000.0
2.0,Sea Point,132.0,8950000.0
1.0,Sea Point,93.0,2695000.0
2.0,Sea Point,70.0,3250000.0
3.0,Sea Point,170.0,8595000.0
2.0,Sea Point,101.0,3995000.0
2.0,Sea Point,82.0,4783250.0
3.0,Sea Point,168.0,6900000.0
2.0,Sea Point,269.0,10750000.0
2.0,Sea Point,150.0,6950000.0
2.0,Sea Point,80.0,2695000.0
3.0,Sea Point,186.0,16000000.0
1.0,Sea Point,61.0,1995000.0
2.0,Sea Point,152.0,7000000.0
2.0,Sea Point,154.0,8834050.0
3.0,Sea Point,482.0,11995000.0
2.0,Sea Point,95.0,3390000.0
2.0,Sea Point,185.0,6250000.0
1.0,Sea Point,61.0,1995000.0
0.0,Sea Point,42.0,1595000.0
2.0,Sea Point,262.0,7849050.0
2.0,Sea Point,72.0,3195000.0
2.0,Sea Point,80.0,5500000.0
1.0,Sea Point,60.0,3600000.0
2.0,Sea Point,83.0,3250000.0
2.0,Sea Point,98.0,4295000.0
1.0,Sea Point,67.0,3250000.0
3.0,Sea Point,177.0,7250000.0
2.0,Sea Point,77.0,4950000.0
1.0,Sea Point,60.0,3600000.0
3.0,Sea Point,124.0,5295000.0
2.0,Sea Point,148.0,7900000.0
4.0,Sea Point,566.0,35500000.0
2.0,Sea Point,125.0,5250000.0
2.0,Sea Point,97.0,5850000.0
2.0,Sea Point,144.0,7495000.0
1.0,Sea Point,48.0,2100000.0
3.0,Sea Point,250.0,18000000.0
3.0,Sea Point,219.0,7600000.0
2.0,Sea Point,119.0,5484500.0
2.0,Sea Point,111.0,2950000.0
2.0,Sea Point,147.0,13950000.0
3.0,Sea Point,267.0,19495000.0
1.0,Sea Point,66.0,2400000.0
2.0,Sea Point,116.0,3295000.0
2.0,Sea Point,104.0,4000000.0
3.0,Sea Point,174.0,5750000.0
2.0,Sea Point,84.0,2999000.0
3.0,Sea Point,420.0,21500000.0
0.0,Sea Point,42.0,1595000.0
2.0,Sea Point,93.0,3995000.0
3.0,Sea Point,140.0,13500000.0
2.0,Sea Point,104.0,4000000.0
2.0,Sea Point,82.0,5209000.0
2.0,Sea Point,74.0,2795000.0
0,Sea Point,42.0,1795000.0
3.0,Sea Point,262.0,12995000.0
1.0,Sea Point,98.0,5250000.0
3.0,Sea Point,462.0,24900000.0
2.0,Sea Point,102.0,5990000.0
1.0,Sea Point,52.0,2099000.0
1.0,Sea Point,130.0,4200000.0
3.0,Sea Point,264.0,12900000.0
2.0,Sea Point,117.0,6350000.0
1.0,Sea Point,60.0,3950000.0
2.0,Sea Point,180.0,9500000.0
2.0,Sea Point,117.0,6350000.0
2.0,Sea Point,83.0,3385000.0
2.0,Sea Point,102.0,5990000.0
2.0,Sea Point,97.0,3695000.0
1.0,Sea Point,57.0,1895000.0
2.0,Sea Point,96.0,5995000.0
2.0,Sea Point,82.0,4959000.0
3.0,Sea Point,127.0,5450000.0
2.0,Sea Point,187.0,6495000.0
3.0,Sea Point,127.0,5450000.0
2.0,Sea Point,154.0,7599000.0
3.0,Sea Point,146.0,4999000.0
0,Sea Point,38.0,1550000.0
2.0,Sea Point,144.0,9495000.0
3.0,Sea Point,221.0,16800000.0
3.0,Sea Point,198.0,15995000.0
3.0,Sea Point,168.0,8795000.0
2.0,Sea Point,194.0,14990000.0
2.0,Sea Point,145.0,7995000.0
3.0,Sea Point,175.0,6900000.0
2.0,Sea Point,76.0,2995000.0
2.0,Sea Point,106.0,5950000.0
1.0,Sea Point,61.0,2991550.0
2.0,Sea Point,109.0,5500000.0
2.0,Sea Point,104.0,4350000.0
3.0,Sea Point,182.0,5230000.0
0,Sea Point,40.0,1695000.0
3.0,Sea Point,177.0,9750000.0
3.0,Sea Point,110.0,2500000.0
1.0,Sea Point,65.0,4017550.0
1.0,Sea Point,49.0,1800000.0
1.0,Sea Point,58.0,2000000.0
1.0,Sea Point,61.0,2991550.0
3.0,Sea Point,144.0,6395000.0
1.0,Sea Point,58.0,1995000.0
1.0,Sea Point,68.0,3995000.0
3.0,Sea Point,100.0,4995000.0
3.0,Sea Point,227.0,17200000.0
2.0,Sea Point,80.0,2795000.0
3.0,Sea Point,125.0,4500000.0
1.0,Sea Point,80.0,4650000.0
2.0,Sea Point,106.0,3250000.0
1.0,Sea Point,64.0,2650000.0
2.0,Sea Point,77.0,3950000.0
3.0,Sea Point,222.0,19435950.0
1.0,Sea Point,65.0,3495000.0
2.0,Sea Point,59.0,2800000.0
3.0,Sea Point,254.0,18990000.0
3.0,Sea Point,462.0,24900000.0
0.0,Sea Point,46.0,1750000.0
0.0,Sea Point,46.0,1750000.0
2.0,Sea Point,70.0,3495000.0
2.0,Sea Point,137.0,6100000.0
3.0,Sea Point,275.0,21500000.0
0,Sea Point,38.0,1675000.0
0.0,Sea Point,64.0,1599000.0
0,Sea Point,44.0,1680000.0
0.0,Sea Point,37.0,1795000.0
2.0,Sea Point,76.0,3350000.0
2.0,Sea Point,102.0,6990000.0
2.0,Sea Point,109.0,5500000.0
2.0,Sea Point,89.0,3995000.0
3.0,Sea Point,106.0,3995000.0
2.0,Sea Point,109.0,6495000.0
2.0,Sea Point,81.0,4150000.0
1.0,Sea Point,63.0,3540000.0
3.0,Sea Point,170.0,6495000.0
2.0,Sea Point,87.0,2850000.0
2.0,Sea Point,106.0,0
1.0,Sea Point,49.0,2995000.0
3.0,Sea Point,133.0,12995000.0
2.0,Sea Point,93.0,3190000.0
1.0,Sea Point,60.0,3350000.0
2.0,Sea Point,135.0,5195000.0
2.0,Sea Point,89.0,3500000.0
2.0,Sea Point,88.0,3050000.0
1.0,Sea Point,51.0,2932500.0
4.0,Sea Point,479.0,19900000.0
2.0,Sea Point,146.0,7200000.0
0,Sea Point,33.0,1600000.0
0.0,Sea Point,51.0,2195000.0
1.0,Sea Point,49.0,3150000.0
4.0,Sea Point,479.0,24995000.0
2.0,Sea Point,119.0,5234500.0
3.0,Sea Point,148.0,6950000.0
0,Sea Point,46.0,3350000.0
2.0,Sea Point,59.0,2795000.0
2.0,Sea Point,108.0,5295000.0
2.0,Sea Point,161.0,2799000.0
3.0,Sea Point,106.0,5450000.0
2.0,Sea Point,91.0,3790000.0
2.0,Sea Point,150.0,8895000.0
2.0,Sea Point,88.0,3050000.0
2.0,Sea Point,80.0,5500000.0
1.0,Sea Point,63.0,2700000.0
2.0,Sea Point,87.0,3300000.0
2.0,Sea Point,117.0,5100000.0
3.0,Sea Point,232.0,17000000.0
2.0,Sea Point,109.0,4995000.0
3.0,Sea Point,170.0,6995000.0
2.0,Sea Point,81.0,4100000.0
2.0,Sea Point,125.0,9310950.0
2.0,Sea Point,106.0,4900000.0
2.0,Sea Point,88.0,3495000.0
3.0,Sea Point,138.0,4350000.0
2.0,Sea Point,79.0,3795000.0
1.0,Sea Point,47.0,1799000.0
3.0,Sea Point,114.0,5750000.0
3.0,Sea Point,143.0,6495000.0
2.0,Sea Point,172.0,6850000.0
3.0,Sea Point,659.0,32950000.0
2.0,Sea Point,115.0,6100000.0
4.0,Sea Point,479.0,19995000.0
1.0,Sea Point,108.0,3450000.0
0,Sea Point,52.0,2290000.0
2.0,Sea Point,87.0,3600000.0
2.0,Sea Point,160.0,11950000.0
0.0,Sea Point,43.0,1900000.0
2.0,Sea Point,68.0,3750000.0
2.0,Sea Point,153.0,6950000.0
4.0,Sea Point,224.0,12995000.0
2.0,Sea Point,80.0,4995000.0
1.0,Sea Point,70.0,2999000.0
2.0,Sea Point,47.0,2880000.0
2.0,Sea Point,153.0,6950000.0
1.0,Sea Point,38.0,1695000.0
2.0,Sea Point,88.0,4495000.0
1.0,Sea Point,49.0,1595000.0
1.0,Sea Point,53.0,2700000.0
1.0,Sea Point,52.0,2900000.0
2.0,Sea Point,139.0,7900000.0
2.0,Sea Point,83.0,6250000.0
1.0,Sea Point,72.0,2795000.0
